year,petrol,diesel,HEV,BEV,PHEV,AV
2025,12034486,6863286,2080591,2186452,1616712,0
2026,11197811,5918387,2188510,2934188,1753769,0
2027,10208724,4976292,2286783,3766040,1885637,0
2028,9107688,4082280,2373801,4674149,2010015,0
2029,7911126,3270404,2439228,5655491,2124577,0
2030,6747271,2577632,2394022,7027938,2130324,0
2031,5659819,2005307,2319592,8354067,2109501,2616
2032,4673188,1547355,2216658,9606364,2058931,8881
2033,3788234,1183245,2080221,10785841,1967474,20178
2034,3008598,893643,1929145,11872463,1850033,38463
2035,2335162,662491,1771346,13028027,1716976,66351
2036,1763776,477920,1534336,14070049,1497025,107311
2037,1296754,333078,1310740,14996521,1284879,165811
2038,925256,224837,1109774,15740085,1092074,247467
2039,638377,148567,930860,16375784,918765,358993
2040,425575,94507,772294,16857766,764752,507953
2041,283227,61455,632691,17176677,628895,702201
2042,184474,40079,510390,17337397,510390,948936
2043,117353,25534,402012,17354811,402012,1253551
2044,72195,15743,307759,17242021,307759,1618539
2045,42116,9218,227345,17012842,227345,2042677
2046,22547,4966,160472,16680381,160472,2520890
2047,10295,2297,111557,16257928,111557,3044777
2048,3318,767,75928,15770520,75928,3603565
2049,195,68,50313,15237614,50313,4185189
2050,0,0,32391,14678441,32391,4777228
