year,petrol,diesel,HEV,BEV,PHEV,AV
2025,12034486,6863286,2080591,2186452,1616712,0
2026,11197811,5918387,2188510,2929343,1753769,4845
2027,10208724,4976292,2286783,3748472,1885637,17568
2028,9107688,4082280,2373801,4631639,2010015,42510
2029,7911126,3270404,2439228,5569478,2124577,86013
2030,6747271,2577632,2394022,6875983,2130324,151956
2031,5659819,2005307,2319592,8127785,2109501,228898
2032,4673188,1547355,2216658,9276181,2058931,339064
2033,3788234,1183245,2080221,10312562,1967474,493457
2034,3008598,893643,1929145,11206550,1850033,704377
2035,2335162,662491,1771346,12108112,1716976,986266
2036,1763776,477920,1534336,12823401,1497025,1353959
2037,1296754,333078,1310740,13341245,1284879,1821088
2038,925256,224837,1109774,13592301,1092074,2395251
2039,638377,148567,930860,13649479,918765,3085298
2040,425575,94507,772294,13478212,764752,3887507
2041,283227,61455,632691,13086204,628895,4792674
2042,184474,40079,510390,12500725,510390,5785608
2043,117353,25534,402012,11761989,402012,6846374
2044,72195,15743,307759,10908594,307759,7951965
2045,42116,9218,227345,9976752,227345,9078767
2046,22547,4966,160472,8997538,160472,10203733
2047,10295,2297,111557,7997298,111557,11305406
2048,3318,767,75928,7009131,75928,12364953
2049,195,68,50313,6056110,50313,13366692
2050,0,0,32391,5156953,32391,14298716
