year,petrol,diesel,HEV,BEV,PHEV,AV
2025,12034486,6863286,2080591,2186452,1616712,0
2026,11197811,5918387,2188510,2934188,1753769,0
2027,10208724,4976292,2286783,3766040,1885637,0
2028,9107688,4082280,2373801,4674149,2010015,0
2029,7911126,3270404,2439228,5655491,2124577,0
2030,6747271,2577632,2394022,7027938,2130324,0
2031,5659819,2005307,2319592,8352758,2109501,3925
2032,4673188,1547355,2216658,9601924,2058931,13321
2033,3788234,1183245,2080221,10775752,1967474,30267
2034,3008598,893643,1929145,11853232,1850033,57695
2035,2335162,662491,1771346,12994852,1716976,99527
2036,1763776,477920,1534336,14016394,1497025,160967
2037,1296754,333078,1310740,14913616,1284879,248717
2038,925256,224837,1109774,15616352,1092074,371200
2039,638377,148567,930860,16196287,918765,538490
2040,425575,94507,772294,16603789,764752,761930
2041,283227,61455,632691,16825577,628895,1053301
2042,184474,40079,510390,16862929,510390,1423404
2043,117353,25534,402012,16728036,402012,1880326
2044,72195,15743,307759,16432751,307759,2427808
2045,42116,9218,227345,15991504,227345,3064015
2046,22547,4966,160472,15419936,160472,3781335
2047,10295,2297,111557,14735539,111557,4567165
2048,3318,767,75928,13968737,75928,5405347
2049,195,68,50313,13145020,50313,6277783
2050,0,0,32391,12289827,32391,7165842
